utterance_id,source,target
0-PMUL0059,u-25,s-72
1-PMUL0059,s-72,u-11
2-PMUL0059,u-11,s-3
3-PMUL0059,s-3,u-17
4-PMUL0059,u-17,s-22
5-PMUL0059,s-22,u-11
6-PMUL0059,u-11,s-4
7-PMUL0059,s-4,u-9
8-PMUL0059,u-9,s-10
9-PMUL0059,s-10,u-9
10-PMUL0059,u-9,s-1
11-PMUL0059,s-1,u-46
12-PMUL0059,u-46,s-45
0-MUL0053,u-17,s-28
1-MUL0053,s-28,u-21
2-MUL0053,u-21,s-73
3-MUL0053,s-73,u-11
4-MUL0053,u-11,s-22
5-MUL0053,s-22,u-61
6-MUL0053,u-61,s-14
7-MUL0053,s-14,u-11
8-MUL0053,u-11,s-14
9-MUL0053,s-14,u-61
10-MUL0053,u-61,s-3
11-MUL0053,s-3,u-25
12-MUL0053,u-25,s-70
13-MUL0053,s-70,u-25
14-MUL0053,u-25,s-23
15-MUL0053,s-23,u-11
16-MUL0053,u-11,s-21
17-MUL0053,s-21,u-61
18-MUL0053,u-61,s-3
19-MUL0053,s-3,u-10
20-MUL0053,u-10,s-52
21-MUL0053,s-52,u-47
22-MUL0053,u-47,s-63
23-MUL0053,s-63,u-46
24-MUL0053,u-46,s-33
0-PMUL2031,u-35,s-59
1-PMUL2031,s-59,u-57
2-PMUL2031,u-57,s-54
3-PMUL2031,s-54,u-51
4-PMUL2031,u-51,s-63
0-MUL1932,u-28,s-60
1-MUL1932,s-60,u-35
2-MUL1932,u-35,s-59
3-MUL1932,s-59,u-56
4-MUL1932,u-56,s-54
5-MUL1932,s-54,u-0
6-MUL1932,u-0,s-8
7-MUL1932,s-8,u-0
8-MUL1932,u-0,s-11
9-MUL1932,s-11,u-0
10-MUL1932,u-0,s-17
11-MUL1932,s-17,u-0
12-MUL1932,u-0,s-58
13-MUL1932,s-58,u-0
14-MUL1932,u-0,s-58
15-MUL1932,s-58,u-47
16-MUL1932,u-47,s-17
17-MUL1932,s-17,u-46
18-MUL1932,u-46,s-49
0-PMUL3833,u-0,s-8
1-PMUL3833,s-8,u-0
2-PMUL3833,u-0,s-8
3-PMUL3833,s-8,u-4
4-PMUL3833,u-4,s-22
5-PMUL3833,s-22,u-28
6-PMUL3833,u-28,s-60
7-PMUL3833,s-60,u-56
8-PMUL3833,u-56,s-61
9-PMUL3833,s-61,u-47
10-PMUL3833,u-47,s-33
0-MUL0989,u-26,s-72
1-MUL0989,s-72,u-56
2-MUL0989,u-56,s-61
3-MUL0989,s-61,u-25
4-MUL0989,u-25,s-23
5-MUL0989,s-23,u-38
6-MUL0989,u-38,s-69
7-MUL0989,s-69,u-61
8-MUL0989,u-61,s-3
9-MUL0989,s-3,u-47
10-MUL0989,u-47,s-38
0-SNG0349,u-0,s-10
1-SNG0349,s-10,u-0
2-SNG0349,u-0,s-48
3-SNG0349,s-48,u-1
4-SNG0349,u-1,s-19
5-SNG0349,s-19,u-47
6-SNG0349,u-47,s-41
0-PMUL2001,u-28,s-75
1-PMUL2001,s-75,u-41
2-PMUL2001,u-41,s-54
3-PMUL2001,s-54,u-25
4-PMUL2001,u-25,s-23
5-PMUL2001,s-23,u-37
6-PMUL2001,u-37,s-23
7-PMUL2001,s-23,u-36
8-PMUL2001,u-36,s-23
9-PMUL2001,s-23,u-61
10-PMUL2001,u-61,s-22
11-PMUL2001,s-22,u-41
12-PMUL2001,u-41,s-23
13-PMUL2001,s-23,u-36
14-PMUL2001,u-36,s-23
15-PMUL2001,s-23,u-39
16-PMUL2001,u-39,s-16
17-PMUL2001,s-16,u-12
18-PMUL2001,u-12,s-3
19-PMUL2001,s-3,u-9
20-PMUL2001,u-9,s-1
21-PMUL2001,s-1,u-54
22-PMUL2001,u-54,s-23
0-WOZ20346,u-25,s-23
1-WOZ20346,s-23,u-56
2-WOZ20346,u-56,s-54
0-PMUL2924,u-34,s-74
1-PMUL2924,s-74,u-56
2-PMUL2924,u-56,s-67
3-PMUL2924,s-67,u-15
4-PMUL2924,u-15,s-26
5-PMUL2924,s-26,u-20
6-PMUL2924,u-20,s-26
7-PMUL2924,s-26,u-44
8-PMUL2924,u-44,s-25
9-PMUL2924,s-25,u-11
10-PMUL2924,u-11,s-22
11-PMUL2924,s-22,u-9
12-PMUL2924,u-9,s-1
13-PMUL2924,s-1,u-9
14-PMUL2924,u-9,s-17
15-PMUL2924,s-17,u-9
16-PMUL2924,u-9,s-2
17-PMUL2924,s-2,u-46
18-PMUL2924,u-46,s-41
0-SNG0214,u-30,s-55
1-SNG0214,s-55,u-47
2-SNG0214,u-47,s-38
0-PMUL3327,u-0,s-17
1-PMUL3327,s-17,u-0
2-PMUL3327,u-0,s-20
3-PMUL3327,s-20,u-40
4-PMUL3327,u-40,s-5
5-PMUL3327,s-5,u-28
6-PMUL3327,u-28,s-73
7-PMUL3327,s-73,u-56
8-PMUL3327,u-56,s-54
9-PMUL3327,s-54,u-46
10-PMUL3327,u-46,s-33
0-SNG01999,u-31,s-53
1-SNG01999,s-53,u-56
2-SNG01999,u-56,s-52
3-SNG01999,s-52,u-46
4-SNG01999,u-46,s-41
0-PMUL4935,u-43,s-29
1-PMUL4935,s-29,u-37
2-PMUL4935,u-37,s-26
3-PMUL4935,s-26,u-18
4-PMUL4935,u-18,s-22
5-PMUL4935,s-22,u-56
6-PMUL4935,u-56,s-56
7-PMUL4935,s-56,u-25
8-PMUL4935,u-25,s-23
9-PMUL4935,s-23,u-37
10-PMUL4935,u-37,s-22
11-PMUL4935,s-22,u-25
12-PMUL4935,u-25,s-23
13-PMUL4935,s-23,u-25
14-PMUL4935,u-25,s-23
15-PMUL4935,s-23,u-25
16-PMUL4935,u-25,s-3
17-PMUL4935,s-3,u-9
18-PMUL4935,u-9,s-10
19-PMUL4935,s-10,u-10
20-PMUL4935,u-10,s-12
21-PMUL4935,s-12,u-10
22-PMUL4935,u-10,s-0
23-PMUL4935,s-0,u-47
24-PMUL4935,u-47,s-36
0-SNG0435,u-0,s-48
1-SNG0435,s-48,u-5
2-SNG0435,u-5,s-48
3-SNG0435,s-48,u-40
4-SNG0435,u-40,s-5
5-SNG0435,s-5,u-47
6-SNG0435,u-47,s-41
0-PMUL3140,u-25,s-23
1-PMUL3140,s-23,u-61
2-PMUL3140,u-61,s-3
3-PMUL3140,s-3,u-56
4-PMUL3140,u-56,s-54
5-PMUL3140,s-54,u-27
6-PMUL3140,u-27,s-69
7-PMUL3140,s-69,u-37
8-PMUL3140,u-37,s-71
9-PMUL3140,s-71,u-20
10-PMUL3140,u-20,s-54
11-PMUL3140,s-54,u-9
12-PMUL3140,u-9,s-1
13-PMUL3140,s-1,u-47
14-PMUL3140,u-47,s-45
0-PMUL0476,u-20,s-74
1-PMUL0476,s-74,u-44
2-PMUL0476,u-44,s-29
3-PMUL0476,s-29,u-14
4-PMUL0476,u-14,s-28
5-PMUL0476,s-28,u-20
6-PMUL0476,u-20,s-68
7-PMUL0476,s-68,u-20
8-PMUL0476,u-20,s-68
9-PMUL0476,s-68,u-14
10-PMUL0476,u-14,s-27
11-PMUL0476,s-27,u-20
12-PMUL0476,u-20,s-28
13-PMUL0476,s-28,u-48
14-PMUL0476,u-48,s-41
0-PMUL4652,u-0,s-69
1-PMUL4652,s-69,u-29
2-PMUL4652,u-29,s-23
3-PMUL4652,s-23,u-23
4-PMUL4652,u-23,s-23
5-PMUL4652,s-23,u-22
6-PMUL4652,u-22,s-23
7-PMUL4652,s-23,u-11
8-PMUL4652,u-11,s-3
9-PMUL4652,s-3,u-16
10-PMUL4652,u-16,s-28
11-PMUL4652,s-28,u-14
12-PMUL4652,u-14,s-25
13-PMUL4652,s-25,u-13
14-PMUL4652,u-13,s-14
15-PMUL4652,s-14,u-9
16-PMUL4652,u-9,s-0
17-PMUL4652,s-0,u-9
18-PMUL4652,u-9,s-63
19-PMUL4652,s-63,u-47
20-PMUL4652,u-47,s-41
21-PMUL4652,s-41,u-52
22-PMUL4652,u-52,s-38
0-MUL2454,u-28,s-74
1-MUL2454,s-74,u-57
2-MUL2454,u-57,s-54
3-MUL2454,s-54,u-25
4-MUL2454,u-25,s-23
5-MUL2454,s-23,u-22
6-MUL2454,u-22,s-62
7-MUL2454,s-62,u-56
8-MUL2454,u-56,s-55
9-MUL2454,s-55,u-9
10-MUL2454,u-9,s-8
11-MUL2454,s-8,u-6
12-MUL2454,u-6,s-74
13-MUL2454,s-74,u-8
14-MUL2454,u-8,s-1
15-MUL2454,s-1,u-47
16-MUL2454,u-47,s-46
0-PMUL4080,u-28,s-60
1-PMUL4080,s-60,u-56
2-PMUL4080,u-56,s-63
3-PMUL4080,s-63,u-14
4-PMUL4080,u-14,s-29
5-PMUL4080,s-29,u-20
6-PMUL4080,u-20,s-25
7-PMUL4080,s-25,u-11
8-PMUL4080,u-11,s-4
9-PMUL4080,s-4,u-47
10-PMUL4080,u-47,s-41
0-PMUL3732,u-14,s-22
1-PMUL3732,s-22,u-17
2-PMUL3732,u-17,s-54
3-PMUL3732,s-54,u-29
4-PMUL3732,u-29,s-52
5-PMUL3732,s-52,u-42
6-PMUL3732,u-42,s-72
7-PMUL3732,s-72,u-16
8-PMUL3732,u-16,s-77
9-PMUL3732,s-77,u-9
10-PMUL3732,u-9,s-1
11-PMUL3732,s-1,u-47
12-PMUL3732,u-47,s-41
0-SNG01894,u-32,s-53
1-SNG01894,s-53,u-56
2-SNG01894,u-56,s-56
3-SNG01894,s-56,u-46
4-SNG01894,u-46,s-41
0-PMUL2173,u-27,s-71
1-PMUL2173,s-71,u-45
2-PMUL2173,u-45,s-75
3-PMUL2173,s-75,u-56
4-PMUL2173,u-56,s-55
5-PMUL2173,s-55,u-25
6-PMUL2173,u-25,s-58
7-PMUL2173,s-58,u-56
8-PMUL2173,u-56,s-67
9-PMUL2173,s-67,u-59
10-PMUL2173,u-59,s-58
11-PMUL2173,s-58,u-47
12-PMUL2173,u-47,s-41
0-MUL0589,u-35,s-74
1-MUL0589,s-74,u-29
2-MUL0589,u-29,s-59
3-MUL0589,s-59,u-37
4-MUL0589,u-37,s-61
5-MUL0589,s-61,u-0
6-MUL0589,u-0,s-13
7-MUL0589,s-13,u-5
8-MUL0589,u-5,s-17
9-MUL0589,s-17,u-1
10-MUL0589,u-1,s-19
11-MUL0589,s-19,u-0
12-MUL0589,u-0,s-48
13-MUL0589,s-48,u-37
14-MUL0589,u-37,s-74
15-MUL0589,s-74,u-1
16-MUL0589,u-1,s-19
17-MUL0589,s-19,u-0
18-MUL0589,u-0,s-17
19-MUL0589,s-17,u-0
20-MUL0589,u-0,s-11
21-MUL0589,s-11,u-48
22-MUL0589,u-48,s-3
23-MUL0589,s-3,u-47
24-MUL0589,u-47,s-63
0-PMUL0979,u-25,s-70
1-PMUL0979,s-70,u-22
2-PMUL0979,u-22,s-23
3-PMUL0979,s-23,u-11
4-PMUL0979,u-11,s-3
5-PMUL0979,s-3,u-0
6-PMUL0979,u-0,s-13
7-PMUL0979,s-13,u-5
8-PMUL0979,u-5,s-73
9-PMUL0979,s-73,u-6
10-PMUL0979,u-6,s-11
11-PMUL0979,s-11,u-0
12-PMUL0979,u-0,s-48
13-PMUL0979,s-48,u-61
14-PMUL0979,u-61,s-5
15-PMUL0979,s-5,u-46
16-PMUL0979,u-46,s-42
0-MUL2588,u-15,s-24
1-MUL2588,s-24,u-17
2-MUL2588,u-17,s-28
3-MUL2588,s-28,u-11
4-MUL2588,u-11,s-21
5-MUL2588,s-21,u-13
6-MUL2588,u-13,s-3
7-MUL2588,s-3,u-35
8-MUL2588,u-35,s-59
9-MUL2588,s-59,u-56
10-MUL2588,u-56,s-52
11-MUL2588,s-52,u-60
12-MUL2588,u-60,s-61
13-MUL2588,s-61,u-46
14-MUL2588,u-46,s-63
0-PMUL0472,u-25,s-69
1-PMUL0472,s-69,u-36
2-PMUL0472,u-36,s-23
3-PMUL0472,s-23,u-11
4-PMUL0472,u-11,s-3
5-PMUL0472,s-3,u-20
6-PMUL0472,u-20,s-25
7-PMUL0472,s-25,u-14
8-PMUL0472,u-14,s-28
9-PMUL0472,s-28,u-20
10-PMUL0472,u-20,s-29
11-PMUL0472,s-29,u-11
12-PMUL0472,u-11,s-3
13-PMUL0472,s-3,u-47
14-PMUL0472,u-47,s-43
0-SNG0192,u-0,s-52
1-SNG0192,s-52,u-56
2-SNG0192,u-56,s-52
3-SNG0192,s-52,u-47
4-SNG0192,u-47,s-54
0-PMUL0288,u-15,s-74
1-PMUL0288,s-74,u-38
2-PMUL0288,u-38,s-28
3-PMUL0288,s-28,u-37
4-PMUL0288,u-37,s-22
5-PMUL0288,s-22,u-11
6-PMUL0288,u-11,s-3
7-PMUL0288,s-3,u-25
8-PMUL0288,u-25,s-70
9-PMUL0288,s-70,u-25
10-PMUL0288,u-25,s-13
11-PMUL0288,s-13,u-11
12-PMUL0288,u-11,s-3
13-PMUL0288,s-3,u-47
14-PMUL0288,u-47,s-63
15-PMUL0288,s-63,u-47
16-PMUL0288,u-47,s-41
0-MUL1016,u-28,s-75
1-MUL1016,s-75,u-26
2-MUL1016,u-26,s-77
3-MUL1016,s-77,u-50
4-MUL1016,u-50,s-63
5-MUL1016,s-63,u-56
6-MUL1016,u-56,s-52
7-MUL1016,s-52,u-16
8-MUL1016,u-16,s-22
9-MUL1016,s-22,u-11
10-MUL1016,u-11,s-16
11-MUL1016,s-16,u-11
12-MUL1016,u-11,s-3
13-MUL1016,s-3,u-47
14-MUL1016,u-47,s-32
0-SNG0989,u-21,s-25
1-SNG0989,s-25,u-29
2-SNG0989,u-29,s-29
3-SNG0989,s-29,u-11
4-SNG0989,u-11,s-3
5-SNG0989,s-3,u-47
6-SNG0989,u-47,s-41
0-PMUL3982,u-0,s-52
1-PMUL3982,s-52,u-0
2-PMUL3982,u-0,s-7
3-PMUL3982,s-7,u-0
4-PMUL3982,u-0,s-10
5-PMUL3982,s-10,u-40
6-PMUL3982,u-40,s-17
7-PMUL3982,s-17,u-61
8-PMUL3982,u-61,s-3
0-PMUL3150,u-5,s-62
1-PMUL3150,s-62,u-44
2-PMUL3150,u-44,s-62
3-PMUL3150,s-62,u-56
4-PMUL3150,u-56,s-58
5-PMUL3150,s-58,u-44
6-PMUL3150,u-44,s-28
7-PMUL3150,s-28,u-14
8-PMUL3150,u-14,s-14
9-PMUL3150,s-14,u-61
10-PMUL3150,u-61,s-22
11-PMUL3150,s-22,u-39
12-PMUL3150,u-39,s-27
13-PMUL3150,s-27,u-11
14-PMUL3150,u-11,s-3
15-PMUL3150,s-3,u-9
16-PMUL3150,u-9,s-66
17-PMUL3150,s-66,u-47
18-PMUL3150,u-47,s-7
19-PMUL3150,s-7,u-6
20-PMUL3150,u-6,s-10
21-PMUL3150,s-10,u-8
22-PMUL3150,u-8,s-1
23-PMUL3150,s-1,u-47
24-PMUL3150,u-47,s-64
0-PMUL1442,u-27,s-62
1-PMUL1442,s-62,u-35
2-PMUL1442,u-35,s-63
3-PMUL1442,s-63,u-0
4-PMUL1442,u-0,s-48
5-PMUL1442,s-48,u-2
6-PMUL1442,u-2,s-17
7-PMUL1442,s-17,u-12
8-PMUL1442,u-12,s-18
9-PMUL1442,s-18,u-11
10-PMUL1442,u-11,s-15
11-PMUL1442,s-15,u-61
12-PMUL1442,u-61,s-15
13-PMUL1442,s-15,u-61
14-PMUL1442,u-61,s-5
15-PMUL1442,s-5,u-47
16-PMUL1442,u-47,s-38
0-PMUL1927,u-0,s-8
1-PMUL1927,s-8,u-0
2-PMUL1927,u-0,s-22
3-PMUL1927,s-22,u-61
4-PMUL1927,u-61,s-5
5-PMUL1927,s-5,u-16
6-PMUL1927,u-16,s-28
7-PMUL1927,s-28,u-39
8-PMUL1927,u-39,s-28
9-PMUL1927,s-28,u-20
10-PMUL1927,u-20,s-25
11-PMUL1927,s-25,u-11
12-PMUL1927,u-11,s-4
13-PMUL1927,s-4,u-47
14-PMUL1927,u-47,s-41
0-PMUL1687,u-16,s-25
1-PMUL1687,s-25,u-11
2-PMUL1687,u-11,s-13
3-PMUL1687,s-13,u-11
4-PMUL1687,u-11,s-4
5-PMUL1687,s-4,u-0
6-PMUL1687,u-0,s-6
7-PMUL1687,s-6,u-7
8-PMUL1687,u-7,s-20
9-PMUL1687,s-20,u-1
10-PMUL1687,u-1,s-19
11-PMUL1687,s-19,u-47
12-PMUL1687,u-47,s-41
0-MUL2645,u-34,s-62
1-MUL2645,s-62,u-47
2-MUL2645,u-47,s-63
3-MUL2645,s-63,u-15
4-MUL2645,u-15,s-26
5-MUL2645,s-26,u-56
6-MUL2645,u-56,s-54
7-MUL2645,s-54,u-47
8-MUL2645,u-47,s-41
0-MUL0298,u-25,s-70
1-MUL0298,s-70,u-11
2-MUL0298,u-11,s-10
3-MUL0298,s-10,u-0
4-MUL0298,u-0,s-23
5-MUL0298,s-23,u-61
6-MUL0298,u-61,s-3
7-MUL0298,s-3,u-0
8-MUL0298,u-0,s-48
9-MUL0298,s-48,u-61
10-MUL0298,u-61,s-5
11-MUL0298,s-5,u-54
12-MUL0298,u-54,s-43
0-SSNG0325,u-16,s-28
1-SSNG0325,s-28,u-20
2-SSNG0325,u-20,s-25
3-SSNG0325,s-25,u-16
4-SSNG0325,u-16,s-13
5-SSNG0325,s-13,u-11
6-SSNG0325,u-11,s-3
7-SSNG0325,s-3,u-47
8-SSNG0325,u-47,s-42
0-WOZ20217,u-25,s-23
1-WOZ20217,s-23,u-56
2-WOZ20217,u-56,s-52
3-WOZ20217,s-52,u-55
4-WOZ20217,u-55,s-51
0-SNG0021,u-9,s-7
1-SNG0021,s-7,u-10
2-SNG0021,u-10,s-1
3-SNG0021,s-1,u-47
4-SNG0021,u-47,s-46
0-MUL1474,u-25,s-70
1-MUL1474,s-70,u-37
2-MUL1474,u-37,s-23
3-MUL1474,s-23,u-57
4-MUL1474,u-57,s-54
5-MUL1474,s-54,u-0
6-MUL1474,u-0,s-13
7-MUL1474,s-13,u-61
8-MUL1474,u-61,s-13
9-MUL1474,s-13,u-0
10-MUL1474,u-0,s-20
11-MUL1474,s-20,u-61
12-MUL1474,u-61,s-3
13-MUL1474,s-3,u-47
14-MUL1474,u-47,s-38
0-MUL0919,u-25,s-23
1-MUL0919,s-23,u-25
2-MUL0919,u-25,s-4
3-MUL0919,s-4,u-56
4-MUL0919,u-56,s-52
5-MUL0919,s-52,u-28
6-MUL0919,u-28,s-75
7-MUL0919,s-75,u-56
8-MUL0919,u-56,s-52
9-MUL0919,s-52,u-56
10-MUL0919,u-56,s-67
11-MUL0919,s-67,u-47
12-MUL0919,u-47,s-41
0-SNG01988,u-0,s-6
1-SNG01988,s-6,u-2
2-SNG01988,u-2,s-13
3-SNG01988,s-13,u-5
4-SNG01988,u-5,s-5
5-SNG01988,s-5,u-12
6-SNG01988,u-12,s-22
7-SNG01988,s-22,u-11
8-SNG01988,u-11,s-22
9-SNG01988,s-22,u-61
10-SNG01988,u-61,s-3
11-SNG01988,s-3,u-47
12-SNG01988,u-47,s-47
0-PMUL2349,u-28,s-74
1-PMUL2349,s-74,u-60
2-PMUL2349,u-60,s-61
3-PMUL2349,s-61,u-24
4-PMUL2349,u-24,s-62
5-PMUL2349,s-62,u-24
6-PMUL2349,u-24,s-13
7-PMUL2349,s-13,u-12
8-PMUL2349,u-12,s-3
9-PMUL2349,s-3,u-9
10-PMUL2349,u-9,s-2
11-PMUL2349,s-2,u-9
12-PMUL2349,u-9,s-1
13-PMUL2349,s-1,u-46
14-PMUL2349,u-46,s-64
0-PMUL2132,u-28,s-60
1-PMUL2132,s-60,u-56
2-PMUL2132,u-56,s-67
3-PMUL2132,s-67,u-59
4-PMUL2132,u-59,s-60
5-PMUL2132,s-60,u-25
6-PMUL2132,u-25,s-23
7-PMUL2132,s-23,u-11
8-PMUL2132,u-11,s-3
9-PMUL2132,s-3,u-61
10-PMUL2132,u-61,s-3
11-PMUL2132,s-3,u-46
12-PMUL2132,u-46,s-41
0-MUL1485,u-25,s-23
1-MUL1485,s-23,u-49
2-MUL1485,u-49,s-52
3-MUL1485,s-52,u-0
4-MUL1485,u-0,s-48
5-MUL1485,s-48,u-6
6-MUL1485,u-6,s-17
7-MUL1485,s-17,u-8
8-MUL1485,u-8,s-20
9-MUL1485,s-20,u-61
10-MUL1485,u-61,s-3
11-MUL1485,s-3,u-47
12-MUL1485,u-47,s-63
13-MUL1485,s-63,u-47
14-MUL1485,u-47,s-49
0-SNG01874,u-30,s-57
1-SNG01874,s-57,u-30
2-SNG01874,u-30,s-57
3-SNG01874,s-57,u-56
4-SNG01874,u-56,s-52
5-SNG01874,s-52,u-46
6-SNG01874,u-46,s-63
0-SNG01442,u-9,s-12
1-SNG01442,s-12,u-7
2-SNG01442,u-7,s-6
3-SNG01442,s-6,u-6
4-SNG01442,u-6,s-1
5-SNG01442,s-1,u-9
6-SNG01442,u-9,s-67
7-SNG01442,s-67,u-47
8-SNG01442,u-47,s-44
0-SSNG0328,u-20,s-68
1-SSNG0328,s-68,u-15
2-SSNG0328,u-15,s-73
3-SSNG0328,s-73,u-14
4-SSNG0328,u-14,s-26
0-SNG1058,u-28,s-75
1-SNG1058,s-75,u-42
2-SNG1058,u-42,s-59
3-SNG1058,s-59,u-58
4-SNG1058,u-58,s-59
5-SNG1058,s-59,u-47
6-SNG1058,u-47,s-46
0-MUL2559,u-28,s-77
1-MUL2559,s-77,u-41
2-MUL2559,u-41,s-62
3-MUL2559,s-62,u-56
4-MUL2559,u-56,s-55
5-MUL2559,s-55,u-11
6-MUL2559,u-11,s-13
7-MUL2559,s-13,u-11
8-MUL2559,u-11,s-21
9-MUL2559,s-21,u-13
10-MUL2559,u-13,s-3
11-MUL2559,s-3,u-47
12-MUL2559,u-47,s-63
13-MUL2559,s-63,u-52
14-MUL2559,u-52,s-38
0-PMUL3026,u-17,s-71
1-PMUL3026,s-71,u-17
2-PMUL3026,u-17,s-58
3-PMUL3026,s-58,u-11
4-PMUL3026,u-11,s-16
5-PMUL3026,s-16,u-12
6-PMUL3026,u-12,s-3
7-PMUL3026,s-3,u-10
8-PMUL3026,u-10,s-14
9-PMUL3026,s-14,u-12
10-PMUL3026,u-12,s-3
11-PMUL3026,s-3,u-9
12-PMUL3026,u-9,s-11
13-PMUL3026,s-11,u-10
14-PMUL3026,u-10,s-0
15-PMUL3026,s-0,u-47
16-PMUL3026,u-47,s-36
0-PMUL0333,u-14,s-27
1-PMUL0333,s-27,u-6
2-PMUL0333,u-6,s-25
3-PMUL0333,s-25,u-21
4-PMUL0333,u-21,s-73
5-PMUL0333,s-73,u-56
6-PMUL0333,u-56,s-26
7-PMUL0333,s-26,u-25
8-PMUL0333,u-25,s-23
9-PMUL0333,s-23,u-11
10-PMUL0333,u-11,s-21
11-PMUL0333,s-21,u-34
12-PMUL0333,u-34,s-22
13-PMUL0333,s-22,u-41
14-PMUL0333,u-41,s-3
15-PMUL0333,s-3,u-47
16-PMUL0333,u-47,s-63
17-PMUL0333,s-63,u-47
18-PMUL0333,u-47,s-65
0-PMUL1206,u-35,s-59
1-PMUL1206,s-59,u-56
2-PMUL1206,u-56,s-54
3-PMUL1206,s-54,u-56
4-PMUL1206,u-56,s-54
5-PMUL1206,s-54,u-47
6-PMUL1206,u-47,s-49
0-MUL2557,u-35,s-73
1-MUL2557,s-73,u-56
2-MUL2557,u-56,s-59
3-MUL2557,s-59,u-56
4-MUL2557,u-56,s-59
5-MUL2557,s-59,u-18
6-MUL2557,u-18,s-59
7-MUL2557,s-59,u-15
8-MUL2557,u-15,s-62
9-MUL2557,s-62,u-14
10-MUL2557,u-14,s-29
11-MUL2557,s-29,u-11
12-MUL2557,u-11,s-4
13-MUL2557,s-4,u-47
14-MUL2557,u-47,s-43
0-PMUL1483,u-28,s-75
1-PMUL1483,s-75,u-41
2-PMUL1483,u-41,s-62
3-PMUL1483,s-62,u-56
4-PMUL1483,u-56,s-56
5-PMUL1483,s-56,u-41
